id,age,country,employment_type,years_employed,annual_income,years_credit_history,num_credit_accounts,credit_score,past_defaults,payment_history_score,total_portfolio_value,btc_pct,eth_pct,stablecoins_pct,other_pct,portfolio_volatility_30d,transaction_frequency_30d,average_transaction_size,wallet_age_days,smart_contract_interactions,defi_experience_level,gas_fee_spending_30d,requested_loan_amount,loan_purpose,collateral_amount,collateral_type,requested_term_months,ltv_ratio,debt_to_income_ratio,risk_score,default_in_12_months,actual_repayment_days,generated_at,generator_version
SYNTH_002364,27,US,self_employed,4,82271,7,4,657,0,64,26936,22.81,26.6,45.91,4.67,35.800641254184455,10,7111,149,9,16,119,1000,emergency,1648,USDT,6,60.68,0.1,41.83,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002365,53,OTHER,part_time,22,56453,33,6,801,0,94,6940960,24.33,43.58,30.3,1.79,39.91767130573005,9,964256,129,8,23,232,1000,other,1403,USDC,12,71.28,0.15,40.53,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002366,28,DE,self_employed,9,76178,6,5,850,0,100,28555,21.64,9.68,59.09,9.59,21.243844726230286,9,7001,484,10,33,80,1000,business,1504,DAI,3,66.49,0.11,29.68,0,95.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002367,18,AU,self_employed,0,59962,0,1,591,0,58,14602,2.53,26.46,52.97,18.04,32.810846989082584,9,1001,246,7,13,296,1000,investment,1741,USDT,24,57.44,0.14,45.83,0,775.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002368,21,UK,full_time,3,44701,2,3,769,1,87,492820,8.8,28.51,46.06,16.63,25.317033830870315,9,142070,318,6,0,401,1000,business,1510,USDC,12,66.23,0.19,45.19,0,343.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002369,49,SG,full_time,31,26999,29,4,610,0,69,538447,18.54,29.21,47.34,4.92,32.133486664281776,5,96622,786,8,21,222,1000,education,1547,USDT,6,64.64,0.31,51.22,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002370,33,JP,self_employed,6,48131,13,4,574,0,41,110222,23.77,41.56,26.38,8.29,44.21565223023032,8,9068,443,7,27,398,1000,other,1690,USDC,3,59.17,0.17,50.26,0,95.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002371,28,UK,student,0,41585,8,2,592,1,53,35448,4.01,66.18,27.42,2.39,36.76063739794708,15,6446,688,6,0,657,1000,personal,1276,USDT,24,78.37,0.2,56.52,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002372,36,SG,part_time,18,38856,14,1,704,0,63,84756,35.48,14.86,47.14,2.52,32.859568553554254,9,22161,348,10,7,251,1000,business,1419,ETH,12,70.47,0.21,48.96,0,369.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002373,41,US,self_employed,13,67499,21,4,784,0,100,296865,25.85,46.97,22.5,4.68,40.89324301219489,9,77434,690,11,7,87,1000,business,1385,USDC,24,72.2,0.12,42.6,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002374,48,US,full_time,25,97831,30,1,717,0,71,63636,11.26,67.91,19.21,1.61,43.55234303031068,12,13431,743,5,21,107,1000,personal,1753,USDT,6,57.05,0.09,36.68,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002375,52,DE,full_time,28,136552,32,5,683,0,58,458268,20.36,22.38,50.29,6.97,29.001749379242423,8,50525,322,12,39,217,1000,emergency,1208,USDT,6,82.78,0.06,37.63,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002376,30,CA,full_time,11,15000,12,2,731,0,72,47102,13.92,18.21,54.96,12.92,28.826231519997854,15,3695,618,7,25,430,1000,emergency,1608,USDC,6,62.19,0.56,46.19,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002377,19,DE,full_time,0,94080,1,5,727,0,68,120914,7.33,9.86,73.02,9.78,28.906849238879033,8,8283,437,8,19,103,1000,personal,1313,USDC,6,76.16,0.09,37.6,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002378,30,US,full_time,12,92517,12,6,733,0,75,217985,7.74,9.72,79.42,3.11,25.782391098876857,12,50780,589,6,7,471,1000,emergency,1638,ETH,36,61.05,0.09,36.88,0,979.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002379,38,UK,full_time,15,15000,20,4,794,0,88,855,33.46,22.01,41.6,2.93,32.88346453552872,20,59,379,7,16,934,1000,education,1463,USDT,6,68.35,0.56,46.46,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002380,23,UK,full_time,4,130203,5,3,739,0,57,190519,24.59,23.44,45.32,6.64,26.27443335981121,9,28949,120,8,1,231,1000,emergency,1438,USDC,6,69.54,0.06,38.08,0,170.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002381,23,SG,self_employed,0,34606,5,3,815,0,94,76981,21.24,25.91,39.99,12.86,36.85821706890226,11,14337,214,6,5,316,1000,emergency,1954,USDT,3,51.18,0.24,41.04,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002382,39,JP,full_time,18,125862,19,4,587,0,44,189331,16.37,25.46,54.63,3.55,23.43627104376963,10,22525,536,10,22,141,1000,other,1477,USDC,24,67.7,0.07,40.71,0,717.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002383,34,AU,self_employed,2,111670,14,4,640,1,35,3753,17.32,50.02,29.41,3.25,39.26791932135511,13,1102,675,10,31,600,1000,investment,1234,DAI,24,81.04,0.07,43.06,0,730.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002384,35,US,full_time,11,138896,16,1,837,0,100,51622,25.24,36.44,29.05,9.27,42.29426507928589,17,8169,784,14,18,752,1000,personal,1557,DAI,24,64.23,0.06,32.42,0,666.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002385,25,JP,full_time,6,51636,6,3,542,0,50,421004,9.8,33.91,34.84,21.45,37.12195846886538,7,94260,367,13,25,255,1000,emergency,1683,BTC,12,59.42,0.16,50.17,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002386,32,SG,part_time,11,82243,14,2,811,0,94,29182,18.56,12.56,49.85,19.02,30.494535833314206,11,6574,549,10,22,389,1000,other,1918,USDC,6,52.14,0.1,31.27,0,186.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002387,23,CA,full_time,0,108188,5,6,827,0,87,149330,31.32,33.7,23.02,11.95,36.1784934332864,17,16962,596,4,19,361,1000,emergency,1564,USDC,12,63.94,0.08,31.8,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002388,45,US,part_time,23,15000,27,2,697,0,68,4091,19.67,33.99,37.56,8.78,39.04965292410279,8,1089,758,6,26,371,1000,personal,1666,Mixed,3,60.02,0.56,49.53,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002389,47,CA,full_time,21,78627,29,0,797,0,81,69402,5.77,54.99,27.17,12.07,39.78731552813524,9,5827,414,9,35,159,1000,personal,1570,USDC,12,63.69,0.11,33.9,0,356.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002390,18,US,full_time,0,111756,0,3,718,1,84,79666,5.81,20.31,60.61,13.26,40.80981585427653,9,7231,558,9,19,282,1000,emergency,1351,USDC,6,74.02,0.07,39.73,0,176.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002391,23,UK,full_time,0,23328,5,2,714,0,65,28636,9.11,47.32,32.06,11.51,34.04550530067228,14,7341,419,10,12,259,1000,business,1258,USDT,3,79.49,0.36,51.67,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002392,18,US,full_time,0,59223,0,2,557,0,56,167083,29.92,20.6,41.84,7.64,30.43474073460205,16,23965,612,9,41,587,1000,education,1806,USDC,6,55.37,0.14,43.89,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002393,27,US,full_time,9,39224,6,2,771,0,100,87642,19.9,32.51,41.04,6.55,28.777134003662713,14,21555,405,12,31,283,1000,personal,1634,DAI,6,61.2,0.21,39.57,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002394,33,US,self_employed,15,98860,11,5,683,0,71,111580,32.05,25.47,41.51,0.98,33.133301749067385,8,9310,631,12,8,135,1000,investment,1806,BTC,6,55.37,0.08,37.35,0,179.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002395,18,US,full_time,0,50035,0,4,595,1,61,9013,38.17,15.04,37.47,9.33,38.110579060361886,16,1425,305,15,17,257,1000,investment,1940,USDC,24,51.55,0.17,47.13,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002396,23,US,self_employed,4,22019,5,2,544,0,42,119399,24.19,28.36,37.78,9.67,31.146097632792163,8,30061,508,12,41,355,1000,investment,1903,Mixed,12,52.55,0.38,50.57,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002397,22,CA,full_time,3,86261,0,6,690,0,74,548775,8.52,66.43,23.8,1.26,28.387730913545038,11,87745,831,7,14,459,1000,personal,1589,ETH,36,62.93,0.1,38.63,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002398,37,US,full_time,12,15000,16,2,676,0,72,16074,9.82,41.03,36.71,12.43,30.109562862841642,13,4272,319,5,14,577,1000,business,1503,USDT,3,66.53,0.56,50.98,0,83.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002399,35,DE,part_time,9,15000,17,1,687,0,74,82218,7.09,32.15,52.5,8.26,27.85203524648333,9,18708,574,14,19,242,1000,education,1773,DAI,12,56.4,0.56,48.13,0,359.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002400,26,US,student,0,16469,7,2,656,0,78,934200,38.88,32.45,24.79,3.88,45.413014933622165,11,53313,607,6,27,64,1000,education,1237,ETH,12,80.84,0.51,56.0,0,368.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002401,37,OTHER,full_time,12,144944,15,2,657,0,86,340653,13.84,13.58,65.55,7.03,26.51144976287636,11,59286,404,8,26,290,1000,other,1764,ETH,12,56.69,0.06,34.67,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002402,28,OTHER,full_time,6,70877,8,4,850,0,97,95262,38.43,30.68,25.32,5.56,32.88626150649582,9,7074,204,8,9,239,1000,personal,1202,USDC,24,83.19,0.12,39.54,0,673.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002403,31,US,full_time,13,15000,12,5,677,0,71,412864,24.51,27.78,42.29,5.42,28.227055979534402,6,49755,171,9,24,177,1000,other,1316,USDC,3,75.99,0.56,51.74,0,90.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002404,55,DE,part_time,37,46144,37,8,825,0,78,802937,27.8,36.73,33.95,1.52,35.535511213003296,17,185457,909,8,28,424,1000,personal,1888,USDC,12,52.97,0.18,35.61,0,371.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002405,51,US,full_time,22,15000,33,5,652,0,57,316306,6.93,24.91,63.26,4.9,29.364198224259535,16,36032,353,8,21,495,1000,emergency,1397,ETH,6,71.58,0.56,53.49,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002406,19,OTHER,student,0,15000,1,5,850,0,100,136237,14.04,9.06,76.86,0.04,17.694434167448243,9,15750,402,4,21,97,1000,business,1367,USDC,12,73.15,0.56,41.69,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002407,44,SG,full_time,26,60302,26,5,808,0,90,240956,38.5,18.09,40.71,2.7,30.603520658866746,12,12284,260,12,6,567,1000,personal,1246,Mixed,36,80.26,0.14,42.32,0,1005.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002408,44,US,unemployed,0,15000,22,4,850,0,100,14750,9.61,25.98,49.42,14.99,24.99533402350359,7,1218,432,3,4,167,1000,education,1696,USDT,6,58.96,0.56,42.82,0,183.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002409,21,UK,full_time,0,110570,3,3,833,0,94,28313,13.51,27.84,54.86,3.79,29.179558545576295,13,3635,591,6,7,260,1000,personal,1707,USDC,12,58.58,0.08,30.69,0,339.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002410,44,US,full_time,15,127381,26,3,814,1,100,64676903,35.64,19.94,40.82,3.6,26.24036695191674,11,16394333,103,7,13,107,1000,investment,1670,USDC,6,59.88,0.07,30.88,0,170.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002411,53,UK,self_employed,35,236132,33,2,800,0,81,172732,57.44,13.12,22.98,6.46,48.33924990709429,18,19784,202,10,38,765,1000,investment,1269,DAI,24,78.8,0.04,34.72,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002412,21,CA,part_time,0,54102,0,2,670,0,74,108066,44.36,10.41,34.61,10.62,28.743735706197093,11,13011,719,10,17,208,1000,personal,1373,USDC,12,72.83,0.15,46.56,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002413,23,SG,part_time,0,34340,5,5,730,0,84,9168,25.1,21.73,34.16,19.01,33.31306816938531,10,633,350,7,17,202,1000,education,1202,ETH,6,83.19,0.24,49.21,0,183.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002414,47,UK,self_employed,29,20537,23,5,664,0,49,156075,7.6,26.71,64.18,1.52,34.47258636495357,13,21362,398,6,12,463,1000,investment,1728,USDC,6,57.87,0.41,50.93,0,164.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002415,38,US,self_employed,20,94165,20,3,798,0,86,6137,55.69,24.3,19.1,0.91,49.74808643795876,11,622,471,7,0,61,1000,business,1972,USDC,3,50.71,0.09,35.69,0,87.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002416,41,US,self_employed,17,186447,22,2,668,0,83,1590097,9.3,22.64,66.65,1.41,35.20529061981045,9,130831,716,7,19,398,1000,personal,1497,USDC,24,66.8,0.04,40.03,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002417,39,US,self_employed,16,43808,19,2,762,0,89,35310,21.8,48.37,28.14,1.69,34.21794483390796,10,5226,205,10,6,103,1000,business,1759,USDC,24,56.85,0.19,42.54,0,761.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002418,39,AU,student,0,15000,20,0,665,0,78,5472893,30.12,27.87,32.4,9.61,42.359761350911235,11,1234589,248,8,2,73,1000,emergency,1934,USDC,24,51.71,0.56,52.44,0,738.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002419,19,US,full_time,0,25067,1,7,780,0,75,89753,28.39,37.18,24.52,9.91,34.990090539543694,9,17601,1037,5,0,398,1000,other,1333,ETH,12,75.02,0.33,50.22,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002420,47,DE,self_employed,23,106216,24,2,667,1,57,394447,29.56,29.29,30.86,10.29,34.39652215718098,9,113022,937,3,11,294,1000,education,1569,USDC,12,63.73,0.08,39.49,0,359.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002421,49,UK,full_time,25,99354,30,4,632,0,53,16008,14.19,34.1,38.81,12.9,33.293463993759026,14,2329,751,6,22,289,1000,emergency,1867,USDC,36,53.56,0.08,36.88,0,1135.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002422,32,US,self_employed,3,124731,11,6,769,0,95,103434,22.67,26.31,40.29,10.73,41.16770509214936,12,26729,400,14,29,332,1000,business,1241,BTC,12,80.58,0.07,36.76,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002423,34,DE,student,0,41668,14,2,618,0,64,11854,43.16,21.1,35.23,0.51,30.767608871808147,16,2518,569,10,31,127,1000,emergency,1725,USDC,6,57.97,0.2,45.41,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002424,18,SG,full_time,0,97735,0,6,719,0,67,188288,2.29,22.55,62.47,12.68,20.655102138270585,10,30329,508,4,22,120,1000,personal,1766,ETH,24,56.63,0.09,32.15,0,681.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002425,41,UK,full_time,17,36822,23,4,812,0,94,148990,19.61,7.12,59.74,13.53,24.66809506720575,10,28585,759,4,6,189,1000,business,1489,USDC,12,67.16,0.23,42.46,0,344.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002426,41,DE,full_time,14,96653,21,1,753,0,94,5507,9.57,19.77,52.71,17.95,26.613682240779244,12,1476,735,9,16,307,1000,business,1355,USDC,12,73.8,0.09,36.68,0,346.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002427,34,SG,full_time,8,31977,16,5,641,1,73,22667,27.92,39.05,22.44,10.59,47.37710875441923,11,3894,158,6,8,366,1000,personal,1969,Mixed,36,50.79,0.26,51.02,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002428,48,UK,full_time,28,198996,28,4,711,1,76,248883,38.26,22.97,23.31,15.46,40.92251138544832,10,20338,449,9,20,195,1000,education,1616,USDC,24,61.88,0.04,36.99,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002429,30,DE,part_time,11,40410,10,4,777,1,92,93652,14.67,16.58,59.45,9.3,25.326705343674647,9,5355,841,5,24,177,1000,education,1758,USDC,24,56.88,0.21,39.41,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002430,41,CA,self_employed,17,101454,23,3,777,1,92,378287,11.74,24.47,27.91,35.88,47.381642823341195,12,45222,685,6,7,202,1000,business,1650,DAI,3,60.61,0.08,35.63,0,95.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002431,22,US,student,0,56156,3,3,665,0,54,15264,29.89,34.09,33.93,2.1,33.667022347974346,13,1565,292,10,30,385,1000,investment,1936,USDC,12,51.65,0.15,41.18,0,334.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002432,34,SG,full_time,8,15000,16,5,775,0,80,19955,5.7,36.38,35.35,22.57,46.90182451466405,9,5646,152,4,0,54,1000,business,1397,USDT,36,71.58,0.56,52.29,0,1132.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002433,32,US,part_time,13,49187,13,5,609,0,77,41672,15.73,35.57,37.83,10.87,40.57671953943715,9,4729,195,8,0,190,1000,education,1940,USDT,24,51.55,0.17,50.9,0,730.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002434,37,US,self_employed,15,89789,18,7,822,0,100,62405,9.36,55.85,33.63,1.16,41.457830147727655,11,10185,423,10,16,434,1000,other,1793,USDC,12,55.77,0.09,33.57,0,370.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002435,30,DE,full_time,9,55760,12,0,781,0,86,68220,27.03,42.54,29.82,0.6,36.224277012222636,9,16488,317,5,15,159,1000,personal,1650,USDC,6,60.61,0.15,40.51,0,179.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002436,33,JP,self_employed,12,39212,15,2,641,0,56,96021,31.65,11.64,51.23,5.48,34.213478400126014,8,23476,474,6,11,331,1000,education,1434,DAI,6,69.74,0.21,50.39,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002437,44,JP,part_time,20,41588,26,0,758,1,72,786996,12.18,46.62,28.52,12.69,31.71281195332486,15,161306,256,9,21,329,1000,personal,1987,USDC,6,50.33,0.2,39.9,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002438,29,US,full_time,2,67402,11,1,692,0,100,295001,12.97,36.29,18.38,32.36,44.561564294887184,15,76200,519,13,7,374,1000,other,1379,DAI,12,72.52,0.12,47.13,0,367.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002439,18,UK,self_employed,0,91502,0,8,805,0,91,274563,18.52,10.54,69.54,1.4,19.17961781238851,8,59222,646,10,23,317,1000,business,1609,USDC,24,62.15,0.09,30.53,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002440,55,DE,part_time,37,50684,36,4,850,0,100,66410,5.49,62.41,29.6,2.5,29.878877088226012,12,14367,263,12,23,227,1000,business,1303,DAI,6,76.75,0.16,38.54,0,165.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002441,51,US,full_time,26,181599,31,6,635,0,60,161500,27.86,11.78,52.76,7.61,20.85220463481763,13,9252,312,5,15,110,1000,education,1868,ETH,6,53.53,0.05,35.85,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002442,19,AU,self_employed,0,47825,0,3,710,0,84,49811,22.45,33.42,25.09,19.04,38.08863766669344,11,9167,518,7,17,278,1000,emergency,1604,USDC,6,62.34,0.17,44.52,0,169.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002443,43,CA,full_time,16,272035,23,2,749,0,69,438360,20.55,36.74,38.11,4.6,31.72924226845758,13,89566,470,4,0,195,1000,education,1372,BTC,12,72.89,0.03,39.17,0,330.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002444,28,OTHER,full_time,1,57143,7,5,633,2,56,450160,22.33,24.73,45.62,7.32,35.71417267282554,8,123936,358,4,16,118,1000,business,1886,USDT,12,53.02,0.15,45.03,0,345.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002445,38,US,self_employed,12,47225,20,4,653,0,69,1308800,45.24,14.1,31.9,8.75,29.80745802562473,16,169933,843,10,21,173,1000,business,1206,ETH,3,82.92,0.18,49.33,0,89.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002446,38,US,full_time,20,39749,16,1,702,0,87,38375,2.29,20.67,73.38,3.66,20.313709167910652,11,6845,525,5,7,129,1000,personal,1423,USDC,24,70.27,0.21,46.66,0,721.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002447,32,AU,self_employed,12,15000,14,2,645,0,59,75121,25.36,41.02,14.88,18.75,41.55149439975756,18,5470,288,8,1,884,1000,business,1396,USDC,24,71.63,0.56,57.19,0,743.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002448,25,CA,full_time,0,86754,4,0,805,0,91,1700983,7.49,37.22,51.33,3.96,27.22670403416156,7,287381,927,3,32,79,1000,education,1662,USDT,36,60.17,0.1,29.93,0,1172.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002449,26,JP,full_time,8,68724,8,6,790,0,100,56521,3.82,49.01,32.49,14.68,27.565154410773978,17,5332,281,8,7,441,1000,emergency,1686,BTC,3,59.31,0.12,38.0,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002450,24,US,full_time,1,83198,6,2,695,1,82,101778,11.72,33.3,53.29,1.69,37.09581508524747,10,26411,862,7,0,204,1000,personal,1500,USDC,12,66.67,0.1,42.97,0,375.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002451,25,DE,full_time,7,15000,5,1,701,0,74,8555,5.16,19.41,56.09,19.34,37.43785572225465,13,1645,58,6,18,145,1000,business,1980,BTC,12,50.51,0.56,47.97,0,395.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002452,34,DE,full_time,16,184056,14,3,718,1,68,48928,18.66,38.74,39.79,2.81,40.70627444434012,7,5120,360,8,21,223,1000,emergency,1573,USDT,36,63.57,0.05,36.58,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002453,26,US,student,0,28112,7,2,662,1,81,115639,26.94,29.04,43.11,0.91,22.758046025943724,11,20254,522,10,19,429,1000,business,1640,Mixed,24,60.98,0.3,47.59,0,664.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002454,43,SG,part_time,21,15000,25,3,675,0,56,16838,5.84,30.84,52.63,10.69,28.24676138349562,14,2652,492,9,15,139,1000,business,1617,USDT,12,61.84,0.56,50.01,0,386.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002455,52,DE,student,0,15000,34,2,603,0,68,82564,26.41,35.39,28.49,9.71,36.64791165562445,18,7781,369,4,13,373,1000,education,1294,DAI,12,77.28,0.56,58.31,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002456,28,US,full_time,6,40843,9,3,756,0,74,22911,36.57,41.74,19.45,2.24,39.86663822755043,15,3685,662,11,35,147,1000,emergency,1701,BTC,36,58.79,0.2,40.02,0,989.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002457,37,US,student,0,48352,17,7,612,0,52,118796,6.51,56.67,35.1,1.72,30.98172472453875,16,19831,412,11,31,546,1000,business,1729,USDT,6,57.84,0.17,44.52,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002458,40,DE,part_time,15,95965,21,3,753,0,76,276741,31.9,11.64,55.86,0.61,32.37026043932677,11,34300,505,5,24,531,1000,personal,1849,ETH,36,54.08,0.09,32.06,0,1187.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002459,40,SG,full_time,14,109522,22,3,721,0,87,357971,11.78,60.16,27.52,0.54,38.039115051230894,16,19633,1499,7,14,382,1000,personal,1911,USDT,3,52.33,0.08,34.87,0,91.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002460,35,JP,full_time,10,39507,17,4,850,0,100,101274,43.16,19.77,34.8,2.26,27.69294797812389,9,13247,1397,9,30,101,1000,personal,1962,ETH,3,50.97,0.21,33.74,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002461,43,UK,full_time,25,33804,25,5,796,0,87,935766,28.19,45.77,24.47,1.58,32.04135613157467,12,119498,454,7,16,192,1000,education,1709,ETH,12,58.51,0.25,41.48,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002462,40,US,full_time,22,70848,20,4,699,0,87,102425,10.45,16.25,63.49,9.81,29.489644424282172,8,21380,506,9,13,226,1000,investment,1338,USDT,12,74.74,0.12,43.86,0,343.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002463,20,OTHER,part_time,0,15000,2,2,694,0,64,1273731,29.36,15.8,51.79,3.06,29.0958969823295,14,90352,952,3,1,121,1000,personal,1486,USDC,3,67.29,0.56,52.42,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002464,45,OTHER,self_employed,26,213315,26,5,638,1,44,85084,27.3,17.74,40.84,14.12,38.17761302063328,13,25368,830,6,28,329,1000,education,1267,USDC,6,78.93,0.04,40.98,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002465,45,US,self_employed,15,149171,27,3,729,0,68,249883,37.44,29.15,21.62,11.79,44.68639253363454,7,52436,777,4,0,119,1000,personal,1634,USDC,12,61.2,0.06,38.95,0,368.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002466,25,AU,full_time,5,36396,4,4,641,1,60,304196,27.43,23.39,35.17,14.01,38.1399713633179,9,48516,1144,5,10,171,1000,investment,1406,USDC,12,71.12,0.23,52.49,0,347.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002467,35,US,full_time,16,15000,17,1,803,0,85,79307,23.4,24.64,47.76,4.21,35.38062758818594,10,6142,786,10,31,158,1000,investment,1501,BTC,24,66.62,0.56,44.32,0,748.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002468,43,US,full_time,12,36118,23,1,667,0,60,74657,9.26,33.4,43.21,14.14,31.961169025040952,8,11074,523,9,9,144,1000,personal,1960,ETH,6,51.02,0.23,45.82,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002469,32,US,part_time,13,30716,14,3,681,0,69,111806,48.25,14.31,37.14,0.3,31.423575352234494,10,29485,936,3,31,94,1000,emergency,1250,DAI,6,80.0,0.27,49.68,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002470,47,US,full_time,19,66974,29,3,829,0,78,149102,15.19,33.64,35.86,15.31,35.65038867963471,9,16356,694,6,5,293,1000,business,1280,BTC,12,78.12,0.12,40.49,0,336.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_002471,63,AU,student,0,15000,44,4,689,0,75,54500,7.09,29.46,41.3,22.15,20.08796450105399,16,10919,455,6,31,747,1000,investment,1944,USDT,6,51.44,0.56,43.04,1,,2026-01-03T01:25:43.880677,1.0.0
